                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.44683,                0.15841,                0.55292,                0.82108,                0.72745,                 0.8291,                0.63994,                0.76819,                0.43875,                0.60084,             0.00070759,             0.00070759,             0.00070759
                     37,                0.46068,                0.15838,                0.55424,                 0.8367,                0.73127,                0.82922,                0.64241,                0.75904,                0.42987,                0.59929,             0.00068018,             0.00068018,             0.00068018
                     38,                 0.4333,                0.15281,                0.55257,                0.84306,                0.75277,                0.84199,                 0.6651,                 0.7282,                0.41096,                0.59528,             0.00065277,             0.00065277,             0.00065277
                     39,                0.43043,                0.15017,                0.55769,                0.86568,                0.75876,                0.85629,                 0.6718,                0.74118,                 0.4032,                0.59544,             0.00062536,             0.00062536,             0.00062536
                     40,                0.42775,                0.14578,                0.55253,                0.81261,                0.81509,                0.85326,                0.67396,                0.72951,                0.39585,                0.59469,             0.00059795,             0.00059795,             0.00059795
                     41,                0.42801,                0.15103,                0.55505,                0.84966,                0.76313,                0.84881,                0.67136,                0.72999,                0.40274,                0.59393,             0.00057054,             0.00057054,             0.00057054
                     42,                0.39599,                0.13952,                0.55079,                0.85547,                0.75202,                0.84442,                0.65981,                0.73821,                0.40625,                0.59553,             0.00054312,             0.00054312,             0.00054312
                     43,                0.41019,                0.14136,                0.55127,                0.84061,                0.75543,                0.84671,                0.64575,                0.79392,                0.41716,                0.60672,             0.00051571,             0.00051571,             0.00051571
                     44,                0.43222,                0.14732,                0.55538,                 0.8016,                 0.7849,                0.83717,                0.65313,                0.73879,                0.43403,                0.59861,              0.0004883,              0.0004883,              0.0004883
                     45,                0.40307,                0.14204,                0.54976,                0.80102,                0.79024,                 0.8325,                0.65537,                0.72883,                0.43867,                0.59482,             0.00046089,             0.00046089,             0.00046089
                     46,                0.40981,                0.13895,                0.54555,                 0.8073,                0.79567,                0.83511,                0.64868,                0.74528,                0.43663,                 0.5965,             0.00043348,             0.00043348,             0.00043348
                     47,                0.38711,                0.13532,                 0.5503,                0.82517,                0.77483,                0.83778,                0.64669,                0.75315,                0.43562,                0.59833,             0.00040607,             0.00040607,             0.00040607
                     48,                0.39456,                0.13822,                0.54895,                  0.823,                0.78298,                 0.8403,                0.65027,                 0.7519,                0.43288,                0.60082,             0.00037866,             0.00037866,             0.00037866
                     49,                0.37596,                0.13007,                0.54666,                0.82551,                0.76702,                0.83532,                0.65102,                0.74298,                0.43625,                0.59992,             0.00035124,             0.00035124,             0.00035124
                     50,                 0.3642,                 0.1275,                0.54761,                0.82944,                0.76763,                0.83178,                0.65015,                0.74512,                0.44031,                0.59833,             0.00032383,             0.00032383,             0.00032383
                     51,                0.37776,                 0.1366,                0.54599,                0.82441,                0.76767,                0.82865,                0.64821,                0.74435,                 0.4367,                0.59736,             0.00029642,             0.00029642,             0.00029642
                     52,                0.36317,                 0.1283,                0.54549,                0.81154,                0.79996,                0.83581,                 0.6518,                0.74602,                0.41671,                0.60011,             0.00026901,             0.00026901,             0.00026901
                     53,                 0.3546,                0.12418,                0.54832,                 0.8359,                0.79273,                0.84109,                0.65603,                0.75051,                0.41476,                0.60164,              0.0002416,              0.0002416,              0.0002416
                     54,                0.34253,                0.12259,                0.54423,                 0.8383,                0.80112,                0.84457,                0.66076,                0.74832,                0.41295,                0.60092,             0.00021419,             0.00021419,             0.00021419
                     55,                0.33985,                0.11764,                0.54491,                0.84535,                0.79115,                0.84446,                0.66462,                0.74763,                0.41612,                0.59961,             0.00018677,             0.00018677,             0.00018677
                     56,                0.34334,                0.12037,                0.54366,                0.82625,                0.79763,                0.84481,                0.66362,                0.74788,                0.42465,                0.59911,             0.00015936,             0.00015936,             0.00015936
                     57,                0.34731,                0.12013,                0.54481,                0.83214,                0.78987,                0.84485,                0.66113,                0.75386,                0.42963,                0.60039,             0.00013195,             0.00013195,             0.00013195
                     58,                 0.3408,                 0.1188,                0.54746,                0.83083,                   0.79,                0.84273,                0.65981,                0.75213,                0.43106,                0.59991,             0.00010454,             0.00010454,             0.00010454
                     59,                0.32679,                0.11535,                0.53857,                0.81888,                0.79737,                0.83967,                0.65862,                0.74572,                0.42539,                0.59921,             7.7128e-05,             7.7128e-05,             7.7128e-05
                     60,                0.32901,                0.11401,                0.54108,                 0.8076,                0.80411,                0.83847,                 0.6605,                0.73912,                0.42354,                0.59767,             4.9716e-05,             4.9716e-05,             4.9716e-05
