                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0014,                 3.2577,                 1.0164,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0964,                 0.0004,                 0.0004
                      2,                 1.0897,                 11.648,                 1.0257,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.09187,             0.00087037,             0.00087037
                      3,                 1.0697,                 5.9405,                 1.0628,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.087308,              0.0013078,              0.0013078
                      4,                0.95355,                 2.2567,                 1.0433,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.082712,              0.0017123,              0.0017123
                      5,                0.89294,                 1.8999,                0.98489,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.078084,               0.002084,               0.002084
                      6,                 0.8586,                 1.5051,                0.95482,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.073423,              0.0024226,              0.0024226
                      7,                0.72038,                 1.4599,                0.92213,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.068728,              0.0027284,              0.0027284
                      8,                0.84149,                 1.6053,                0.94021,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.064001,              0.0030012,              0.0030012
                      9,                0.77987,                 1.2609,                0.92183,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.059241,              0.0032412,              0.0032412
                     10,                0.82429,                 1.1871,                0.91731,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.054448,              0.0034482,              0.0034482
                     11,                0.76032,                  1.157,                0.90602,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.049622,              0.0036222,              0.0036222
                     12,                0.76508,                 1.2143,                 0.9249,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.044763,              0.0037634,              0.0037634
                     13,                0.67709,                 1.0693,                0.87964,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.039872,              0.0038716,              0.0038716
                     14,                0.69627,                 1.1562,                0.88228,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.034947,              0.0039469,              0.0039469
                     15,                0.79827,                 1.1309,                0.90743,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.029989,              0.0039893,              0.0039893
                     16,                0.74409,                 1.0942,                0.91153,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.024999,              0.0039988,              0.0039988
                     17,                0.70881,                 1.0269,                0.88728,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.019975,              0.0039753,              0.0039753
                     18,                0.66967,                 1.0115,                0.87986,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.014919,               0.003919,               0.003919
                     19,                0.62528,                0.95729,                0.85597,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098297,              0.0038297,              0.0038297
                     20,                 0.6216,                0.94926,                0.86125,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0047074,              0.0037074,              0.0037074
                     21,                0.58663,                0.99565,                0.85607,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0034157,              0.0034157,              0.0034157
                     22,                0.63781,                 1.1095,                0.86681,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0030865,              0.0030865,              0.0030865
                     23,                  0.635,                 1.0336,                0.86826,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0027572,              0.0027572,              0.0027572
                     24,                0.58909,                0.97481,                0.85508,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002428,               0.002428,               0.002428
                     25,                0.59537,                0.90314,                0.84863,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0020988,              0.0020988,              0.0020988
                     26,                0.58031,                0.88287,                0.84254,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017696,              0.0017696,              0.0017696
                     27,                0.55831,                0.83936,                0.84347,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0014404,              0.0014404,              0.0014404
                     28,                0.54755,                0.81428,                 0.8377,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0011111,              0.0011111,              0.0011111
                     29,                0.53457,                0.81049,                0.82697,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00078193,             0.00078193,             0.00078193
                     30,                0.52923,                0.78195,                0.83112,                0.73973,                0.74572,                0.80175,                0.64215,                0.46165,                0.75027,                0.78936,             0.00045272,             0.00045272,             0.00045272
