                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.74074,                0.81876,                0.83513,                0.88901,                0.74003,                0.86344,                0.69359,                0.68368,                 1.0658,                0.80201,             0.00098734,             0.00098734,             0.00098734
                     37,                0.73308,                0.81209,                 0.8262,                0.86011,                0.75076,                 0.8575,                0.69322,                0.69161,                 1.0938,                0.80593,             0.00096792,             0.00096792,             0.00096792
                     38,                0.75947,                0.86241,                0.82134,                0.83125,                0.74337,                 0.8261,                0.66065,                0.69435,                 1.1764,                0.80752,              0.0009485,              0.0009485,              0.0009485
                     39,                0.71184,                0.80941,                0.80636,                0.82261,                0.71182,                0.82557,                0.66206,                0.68951,                  1.142,                0.80347,             0.00092908,             0.00092908,             0.00092908
                     40,                 0.7342,                0.82337,                0.81968,                0.82301,                0.72049,                0.81955,                0.66665,                  0.672,                 1.1492,                0.80015,             0.00090966,             0.00090966,             0.00090966
                     41,                0.70346,                0.76723,                0.80951,                0.80099,                0.73222,                0.80119,                0.63972,                0.71781,                 1.2782,                0.80789,             0.00089024,             0.00089024,             0.00089024
                     42,                0.69086,                0.78432,                0.82132,                0.82936,                0.74992,                0.81541,                0.65526,                0.70343,                 1.2024,                0.80268,             0.00087082,             0.00087082,             0.00087082
                     43,                0.70179,                0.74474,                 0.8065,                0.82017,                0.75716,                0.82422,                0.67485,                0.65989,                  1.146,                0.79513,              0.0008514,              0.0008514,              0.0008514
                     44,                0.70679,                 0.7652,                0.81356,                0.82107,                0.76044,                0.83856,                0.65241,                0.72453,                 1.1892,                0.80556,             0.00083198,             0.00083198,             0.00083198
                     45,                0.71372,                0.75264,                0.81037,                 0.8062,                0.74943,                0.83237,                0.66437,                0.67992,                 1.1906,                0.80073,             0.00081256,             0.00081256,             0.00081256
