                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0067,                 3.3632,                 0.9756,                0.49209,                 0.6698,                 0.5358,                0.43721,                0.65899,                 1.3466,                0.83874,             0.00015003,             0.00015003,             0.00015003
                      2,                0.64518,                0.94861,                0.83716,                0.48526,                0.66709,                0.49473,                0.39836,                0.63048,                 2.3123,                0.83557,             0.00031304,             0.00031304,             0.00031304
                      3,                0.63396,                0.87939,                0.83688,                0.24047,                0.42029,                 0.4181,                0.36518,                0.63743,                    inf,                0.83802,             0.00047217,             0.00047217,             0.00047217
                      4,                0.60982,                0.74585,                0.82978,                0.57011,                0.71887,                0.64753,                0.51934,                0.70055,                 1.2102,                0.85727,             0.00062741,             0.00062741,             0.00062741
                      5,                0.61194,                0.70677,                0.83122,                0.61133,                0.69909,                0.60698,                0.49706,                0.66057,                 1.4703,                 0.8538,             0.00077878,             0.00077878,             0.00077878
                      6,                0.60337,                0.68036,                0.82381,                0.70812,                0.74109,                0.75262,                0.60495,                0.67152,                 1.0964,                0.84226,             0.00092625,             0.00092625,             0.00092625
                      7,                0.64557,                0.69199,                0.83104,                0.59421,                0.66311,                0.66526,                0.52938,                0.66931,                 1.2398,                0.84513,              0.0010698,              0.0010698,              0.0010698
                      8,                0.64774,                0.68558,                0.83608,                0.59307,                0.68192,                0.58523,                0.48453,                0.66033,                 1.3296,                0.84911,              0.0012096,              0.0012096,              0.0012096
                      9,                0.63626,                0.63559,                 0.8388,                0.08701,                0.48046,                0.06602,                0.05139,                0.69052,                    inf,                0.85546,              0.0013454,              0.0013454,              0.0013454
                     10,                0.66112,                 0.6253,                0.83408,                0.53232,                 0.7233,                0.52357,                0.44118,                0.66397,                 1.1016,                0.85779,              0.0014773,              0.0014773,              0.0014773
                     11,                0.62715,                0.63395,                0.82945,                0.69742,                0.70932,                0.73806,                0.60993,                0.57609,                0.72402,                0.83353,              0.0014728,              0.0014728,              0.0014728
                     12,                0.59605,                0.56319,                0.82433,                0.73226,                0.71633,                0.77379,                0.63212,                0.61944,                0.79887,                 0.8358,              0.0014534,              0.0014534,              0.0014534
                     13,                0.58507,                0.53459,                0.82721,                0.79713,                0.74356,                0.85235,                0.68847,                0.61106,                  0.764,                0.83105,               0.001434,               0.001434,               0.001434
                     14,                0.59934,                 0.5365,                0.82325,                0.76733,                0.79719,                0.84731,                0.69549,                0.58785,                0.65044,                 0.8308,              0.0014146,              0.0014146,              0.0014146
                     15,                0.59151,                0.52374,                0.82232,                0.77676,                 0.7883,                0.83543,                0.68377,                 0.5997,                0.64017,                 0.8323,              0.0013952,              0.0013952,              0.0013952
                     16,                0.59471,                0.52628,                0.82629,                0.80186,                0.77733,                0.83774,                0.69918,                0.56379,                0.59163,                0.82596,              0.0013758,              0.0013758,              0.0013758
                     17,                 0.5533,                0.52792,                0.81812,                 0.8056,                0.77678,                0.85827,                0.71494,                0.56456,                0.68508,                0.82471,              0.0013563,              0.0013563,              0.0013563
                     18,                0.58608,                0.53742,                0.82401,                0.77397,                0.80533,                0.86266,                0.72164,                0.56619,                0.61679,                0.82546,              0.0013369,              0.0013369,              0.0013369
                     19,                0.57076,                 0.4796,                0.81582,                0.78432,                0.81762,                0.86585,                  0.709,                0.59537,                0.59069,                0.82887,              0.0013175,              0.0013175,              0.0013175
