                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6156,                 4.2326,                 1.0742,                0.18912,                0.06305,                0.04964,                0.02707,                 1.3598,                 3.8324,                0.97903,              6.668e-05,              6.668e-05,              6.668e-05
                      2,                  1.468,                 3.5328,                 1.0254,                0.50248,                0.47107,                0.41706,                0.33205,                0.79133,                 3.5767,                 0.8468,             0.00014828,             0.00014828,             0.00014828
                      3,                0.93928,                 1.4422,                0.87665,                 0.4948,                0.67644,                0.58691,                0.43697,                0.80378,                 1.7625,                0.83219,             0.00022794,             0.00022794,             0.00022794
                      4,                0.91544,                 1.2438,                0.85708,                0.64966,                0.71427,                0.75853,                0.58515,                0.76462,                 1.0643,                 0.8287,             0.00030566,             0.00030566,             0.00030566
                      5,                0.90286,                 1.0827,                0.87594,                0.67357,                0.59656,                0.70954,                0.55511,                0.73673,                 1.2003,                0.82104,             0.00038144,             0.00038144,             0.00038144
                      6,                0.94746,                 1.1237,                0.87746,                0.46606,                0.57666,                0.49886,                0.33147,                 1.1659,                 1.4936,                 0.9664,             0.00045528,             0.00045528,             0.00045528
                      7,                0.88608,                0.97446,                0.86916,                0.38841,                0.40999,                   0.42,                  0.341,                0.74032,                    inf,                 0.8242,             0.00052717,             0.00052717,             0.00052717
                      8,                0.87098,                0.95591,                0.86865,                0.36829,                0.55205,                0.44977,                0.34673,                0.82046,                 2.7703,                0.83777,             0.00059713,             0.00059713,             0.00059713
                      9,                0.85239,                0.86297,                0.86611,                0.32688,                0.69041,                0.41691,                0.32671,                0.83724,                 5.2463,                0.84819,             0.00066514,             0.00066514,             0.00066514
                     10,                0.85152,                0.91348,                0.86761,                0.20812,                0.70486,                0.20792,                0.16238,                0.80954,                 6.6154,                0.84308,             0.00073121,             0.00073121,             0.00073121
                     11,                0.89726,                0.84694,                0.86316,                0.29498,                0.51113,                0.24389,                0.18106,                 1.0075,                  2.128,                0.94173,             0.00079534,             0.00079534,             0.00079534
