                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5845,                  4.177,                 1.0659,                0.17586,                0.04763,                0.03372,                0.01792,                 1.4766,                 3.9951,                 1.0464,              6.668e-05,              6.668e-05,              6.668e-05
                      2,                 1.3475,                 3.3261,                0.99267,                 0.4345,                0.66656,                0.51146,                0.37341,                0.91796,                 1.8426,                0.86708,             0.00014828,             0.00014828,             0.00014828
                      3,                0.95951,                 1.6726,                0.86787,                0.62989,                0.61924,                0.64437,                0.46412,                0.92201,                 2.6201,                0.84976,             0.00022794,             0.00022794,             0.00022794
                      4,                 0.9564,                 1.2692,                0.86676,                 0.4317,                0.70119,                0.52972,                 0.3971,                0.90086,                 2.5587,                0.86125,             0.00030566,             0.00030566,             0.00030566
                      5,                0.87914,                 1.0858,                0.86556,                0.43978,                0.69917,                0.45039,                0.33036,                 0.8634,                 4.8857,                0.86329,             0.00038144,             0.00038144,             0.00038144
                      6,                 0.8958,                 1.0723,                0.86906,                0.39069,                0.65935,                0.35857,                0.23016,                 1.0365,                 13.605,                0.89581,             0.00045528,             0.00045528,             0.00045528
                      7,                0.87877,                0.99725,                0.85622,                0.38328,                 0.6542,                0.31592,                0.22784,                0.88558,                    inf,                 0.8748,             0.00052717,             0.00052717,             0.00052717
                      8,                0.83839,                0.91343,                  0.872,                0.74235,                0.69483,                0.79912,                 0.5704,                0.95232,                 1.3353,                0.89874,             0.00059713,             0.00059713,             0.00059713
                      9,                0.80113,                0.82979,                0.85816,                0.67274,                0.70572,                0.66407,                 0.4381,                 1.1439,                 1.3041,                0.94927,             0.00066514,             0.00066514,             0.00066514
                     10,                0.86175,                0.84019,                0.86642,                0.73521,                0.67189,                0.76103,                0.53216,                  1.003,                 1.1952,                0.90452,             0.00073121,             0.00073121,             0.00073121
                     11,                0.83431,                0.79343,                0.86227,                0.47071,                0.78559,                0.47346,                0.34712,                  1.003,                 6.9192,                0.89954,             0.00079534,             0.00079534,             0.00079534
                     12,                0.84199,                0.80464,                0.86258,                0.48407,                 0.7566,                0.53085,                0.38296,                0.95092,                 2.6816,                 0.8903,             0.00085752,             0.00085752,             0.00085752
                     13,                0.87603,                0.77936,                0.86103,                0.61603,                0.69359,                0.64241,                0.45942,                0.97142,                 1.2493,                 0.8996,             0.00091777,             0.00091777,             0.00091777
                     14,                  0.848,                0.77362,                0.86445,                0.69418,                0.76859,                0.77107,                 0.5438,                0.93693,                 1.1608,                0.88772,             0.00097607,             0.00097607,             0.00097607
                     15,                0.86824,                0.73249,                0.86855,                 0.7351,                0.65873,                0.75054,                0.50685,                 1.0255,                 1.1934,                0.91157,              0.0010324,              0.0010324,              0.0010324
                     16,                0.83357,                 0.7213,                0.86389,                0.75105,                0.69213,                0.75803,                 0.5426,                0.92032,                 1.0112,                0.89031,              0.0010869,              0.0010869,              0.0010869
                     17,                0.81945,                0.70616,                 0.8493,                0.62263,                0.71751,                0.63197,                0.44845,                 0.9533,                 1.6716,                0.90231,              0.0011393,              0.0011393,              0.0011393
                     18,                0.82006,                 0.7306,                0.85359,                0.78863,                 0.7275,                0.82163,                0.59569,                0.91459,                0.98163,                0.88828,              0.0011899,              0.0011899,              0.0011899
                     19,                0.83945,                0.78512,                0.84817,                0.72393,                0.75013,                0.80864,                0.59434,                0.90116,                0.92409,                0.88077,              0.0012385,              0.0012385,              0.0012385
                     20,                0.79467,                0.73624,                0.85416,                0.60488,                0.57609,                0.58003,                0.44544,                0.88904,                  1.438,                0.88845,              0.0012851,              0.0012851,              0.0012851
                     21,                0.79796,                0.74235,                0.85071,                0.70675,                 0.6623,                0.71959,                0.55483,                0.85905,                 1.0305,                0.88053,              0.0012787,              0.0012787,              0.0012787
                     22,                0.79129,                0.69981,                0.85478,                0.81524,                 0.7389,                0.83479,                0.61909,                0.89379,                0.89332,                0.88933,              0.0012593,              0.0012593,              0.0012593
                     23,                0.77516,                0.67932,                0.85613,                0.77868,                0.81575,                0.85531,                 0.6535,                0.84134,                0.85209,                 0.8693,              0.0012399,              0.0012399,              0.0012399
                     24,                0.75739,                0.69893,                0.84188,                0.80922,                0.71424,                0.84965,                0.62325,                0.89903,                 1.0362,                0.88657,              0.0012204,              0.0012204,              0.0012204
                     25,                 0.7529,                0.67974,                0.84319,                0.71334,                0.74542,                0.77667,                0.59379,                0.81746,                 1.2801,                  0.869,               0.001201,               0.001201,               0.001201
                     26,                 0.7783,                0.65744,                0.84729,                0.80424,                0.77146,                0.84514,                0.62528,                0.86758,                0.87112,                0.87706,              0.0011816,              0.0011816,              0.0011816
                     27,                0.79209,                0.64871,                0.84676,                0.81973,                0.80644,                0.88679,                0.67006,                0.85935,                0.87869,                 0.8786,              0.0011622,              0.0011622,              0.0011622
                     28,                0.72209,                0.58881,                0.83224,                0.79553,                0.76604,                0.84774,                0.64011,                0.88333,                0.81187,                0.88025,              0.0011428,              0.0011428,              0.0011428
                     29,                0.75575,                0.63648,                0.84624,                0.74753,                0.77696,                0.82762,                0.64126,                0.82775,                0.84637,                0.86916,              0.0011234,              0.0011234,              0.0011234
                     30,                0.75835,                0.63368,                0.84455,                0.80699,                0.75148,                0.85425,                0.65857,                0.84482,                0.89068,                0.86809,              0.0011039,              0.0011039,              0.0011039
                     31,                0.73523,                0.58139,                0.83554,                0.80988,                0.75104,                0.85318,                0.65165,                0.86413,                0.87992,                0.86879,              0.0010845,              0.0010845,              0.0010845
                     32,                 0.7647,                0.58111,                0.84285,                0.78399,                0.74116,                0.83782,                0.64535,                0.86571,                0.88039,                 0.8699,              0.0010651,              0.0010651,              0.0010651
                     33,                0.72779,                0.54704,                0.83758,                0.80345,                0.76676,                0.85408,                0.66634,                0.84409,                 0.8123,                 0.8644,              0.0010457,              0.0010457,              0.0010457
                     34,                0.73264,                0.56857,                0.83386,                   0.83,                0.81171,                 0.8828,                0.68081,                0.82524,                0.72069,                0.86054,              0.0010263,              0.0010263,              0.0010263
                     35,                0.72111,                0.55397,                0.84005,                0.82083,                0.84021,                0.88783,                0.69308,                0.80706,                 0.6991,                0.85441,              0.0010069,              0.0010069,              0.0010069
                     36,                0.70434,                0.53607,                0.83856,                0.80766,                0.80339,                0.88066,                0.67979,                0.83791,                 0.7343,                0.86143,             0.00098745,             0.00098745,             0.00098745
                     37,                0.72385,                0.56424,                0.83697,                0.78294,                  0.833,                 0.8845,                0.68154,                0.83136,                0.75242,                0.85684,             0.00096804,             0.00096804,             0.00096804
                     38,                0.70914,                0.54289,                0.82816,                 0.8236,                0.79107,                0.87263,                0.68608,                0.80523,                0.76375,                 0.8512,             0.00094862,             0.00094862,             0.00094862
                     39,                 0.7226,                0.55962,                0.84119,                0.81889,                0.79089,                0.87053,                0.67309,                0.83897,                0.74704,                0.85532,             0.00092921,             0.00092921,             0.00092921
                     40,                0.71917,                0.52551,                0.83712,                0.81833,                0.80855,                0.86708,                0.66674,                0.82636,                0.77369,                0.85282,             0.00090979,             0.00090979,             0.00090979
                     41,                 0.7082,                 0.4994,                0.83362,                0.84714,                0.77645,                0.87767,                0.68183,                0.79942,                0.76488,                 0.8461,             0.00089037,             0.00089037,             0.00089037
                     42,                0.67592,                0.47366,                 0.8198,                0.82445,                0.79384,                0.86837,                0.66378,                0.83351,                0.79569,                0.85647,             0.00087096,             0.00087096,             0.00087096
                     43,                0.68886,                0.47509,                0.82736,                0.84643,                0.77105,                0.85775,                0.66631,                 0.7949,                0.79708,                0.85106,             0.00085154,             0.00085154,             0.00085154
                     44,                0.66701,                0.45726,                0.82206,                0.86726,                0.74265,                0.83965,                  0.647,                 0.8327,                0.78598,                0.85794,             0.00083213,             0.00083213,             0.00083213
                     45,                0.69318,                0.48591,                0.82514,                0.86402,                0.72906,                0.83172,                0.64693,                0.81996,                0.81793,                0.85517,             0.00081271,             0.00081271,             0.00081271
                     46,                0.67816,                0.46225,                0.83227,                0.83798,                0.74132,                0.82541,                0.63102,                0.85017,                0.83173,                0.86533,              0.0007933,              0.0007933,              0.0007933
                     47,                0.68574,                0.43976,                 0.8199,                0.81214,                0.74021,                0.82638,                0.65096,                0.79458,                0.83713,                0.85067,             0.00077388,             0.00077388,             0.00077388
                     48,                0.68691,                0.46837,                0.82487,                0.82038,                0.73385,                0.83183,                0.62817,                0.87346,                0.80905,                0.86093,             0.00075446,             0.00075446,             0.00075446
                     49,                0.71791,                0.47063,                 0.8227,                0.82623,                  0.741,                0.82996,                0.63818,                0.84049,                0.81131,                0.85358,             0.00073505,             0.00073505,             0.00073505
                     50,                0.72661,                0.48091,                0.82848,                0.82562,                0.73852,                0.83883,                0.65842,                0.79862,                0.77399,                0.84774,             0.00071563,             0.00071563,             0.00071563
                     51,                0.71296,                0.45306,                0.82178,                0.83194,                0.76397,                0.84455,                0.65832,                0.81759,                0.76837,                0.85321,             0.00069622,             0.00069622,             0.00069622
                     52,                0.69796,                0.44917,                0.82561,                0.80476,                0.80637,                0.85596,                0.65591,                0.86519,                0.76544,                0.86031,              0.0006768,              0.0006768,              0.0006768
                     53,                0.70226,                 0.4391,                0.82552,                0.82669,                0.78529,                0.85461,                0.66805,                0.79088,                0.75701,                 0.8477,             0.00065739,             0.00065739,             0.00065739
                     54,                0.67326,                0.41638,                0.82142,                0.81756,                0.78431,                 0.8468,                 0.6508,                0.82495,                0.77422,                 0.8567,             0.00063797,             0.00063797,             0.00063797
                     55,                0.67941,                0.42839,                0.82055,                0.84227,                0.76529,                0.84393,                0.63855,                0.85194,                0.77874,                0.86303,             0.00061856,             0.00061856,             0.00061856
                     56,                0.67031,                0.42222,                0.81722,                0.83922,                0.77111,                0.84886,                0.66459,                0.79399,                0.76311,                0.85072,             0.00059914,             0.00059914,             0.00059914
                     57,                 0.6682,                0.40551,                0.82316,                0.82802,                0.78027,                0.84954,                0.66808,                0.79318,                0.74947,                0.85229,             0.00057972,             0.00057972,             0.00057972
                     58,                0.64669,                0.40311,                0.81722,                0.84039,                0.77659,                0.85111,                0.66375,                0.82127,                0.75302,                0.85761,             0.00056031,             0.00056031,             0.00056031
                     59,                0.63652,                0.38526,                0.80529,                0.81966,                0.78989,                0.85434,                0.65648,                0.85324,                0.76614,                0.86361,             0.00054089,             0.00054089,             0.00054089
                     60,                0.63005,                0.39915,                0.81149,                0.82315,                0.77944,                0.85501,                0.66783,                0.81609,                0.76965,                0.85422,             0.00052148,             0.00052148,             0.00052148
                     61,                0.64806,                0.39953,                0.80888,                0.81798,                0.78266,                0.84866,                0.65524,                0.83274,                0.77949,                0.85761,             0.00050206,             0.00050206,             0.00050206
                     62,                0.63692,                0.38206,                0.81285,                0.84079,                 0.7827,                0.84641,                 0.6355,                 0.8963,                0.78659,                 0.8715,             0.00048265,             0.00048265,             0.00048265
                     63,                0.65666,                0.37932,                0.81559,                0.82237,                0.78242,                0.84183,                0.62419,                0.92096,                0.78967,                 0.8815,             0.00046323,             0.00046323,             0.00046323
                     64,                0.63687,                0.37794,                0.81307,                0.80612,                0.79297,                 0.8564,                0.67167,                0.79553,                0.74306,                0.85399,             0.00044381,             0.00044381,             0.00044381
                     65,                0.65661,                0.37785,                 0.8205,                0.80386,                0.79705,                 0.8562,                0.67112,                0.79145,                0.75125,                0.84891,              0.0004244,              0.0004244,              0.0004244
                     66,                0.64881,                0.38876,                0.81411,                0.88301,                0.72761,                0.85531,                0.66227,                 0.8227,                0.77081,                0.85488,             0.00040498,             0.00040498,             0.00040498
                     67,                0.63058,                0.36853,                0.81358,                0.85211,                0.75842,                 0.8564,                0.64492,                0.91232,                0.77257,                0.87073,             0.00038557,             0.00038557,             0.00038557
                     68,                 0.6524,                0.36487,                0.81589,                0.84056,                0.76012,                0.86031,                0.64678,                0.88919,                0.76809,                0.87206,             0.00036615,             0.00036615,             0.00036615
                     69,                0.61531,                0.35965,                0.81376,                 0.8497,                 0.7622,                0.85997,                0.66175,                 0.8394,                0.77633,                0.86507,             0.00034674,             0.00034674,             0.00034674
                     70,                0.63015,                0.37065,                0.81442,                 0.8251,                0.77262,                0.85919,                0.65614,                0.85926,                0.78205,                0.86793,             0.00032732,             0.00032732,             0.00032732
                     71,                0.62776,                0.36393,                0.80709,                0.86998,                0.74377,                0.85571,                0.64863,                0.87968,                0.78425,                0.87095,              0.0003079,              0.0003079,              0.0003079
                     72,                0.60142,                0.34354,                0.81071,                0.87467,                0.74794,                0.84908,                0.64369,                0.86318,                0.78286,                0.86807,             0.00028849,             0.00028849,             0.00028849
                     73,                0.59251,                0.33862,                0.81541,                0.86661,                 0.7475,                0.84861,                0.64111,                0.85465,                0.77855,                0.86724,             0.00026907,             0.00026907,             0.00026907
                     74,                0.61906,                0.34406,                0.81212,                0.85776,                0.74594,                0.84813,                0.64762,                0.84361,                0.77848,                0.86726,             0.00024966,             0.00024966,             0.00024966
                     75,                0.59967,                0.34148,                 0.8055,                0.85845,                0.74772,                 0.8493,                0.64585,                0.84319,                0.78985,                0.86768,             0.00023024,             0.00023024,             0.00023024
