                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6423,                 3.5115,                  1.057,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.096396,               0.000396,               0.000396
                      2,                 1.7728,                 11.397,                 1.1008,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.091862,              0.0008616,              0.0008616
                      3,                  1.881,                  10.48,                 1.1611,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.087295,              0.0012945,              0.0012945
                      4,                 1.4966,                 2.4954,                 1.0546,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.082695,              0.0016948,              0.0016948
                      5,                 1.4376,                 2.1376,                 1.0058,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.078062,              0.0020624,              0.0020624
                      6,                 1.2853,                 1.6486,                 0.9674,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.073397,              0.0023973,              0.0023973
                      7,                 1.2579,                 1.4306,                0.98594,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0687,              0.0026995,              0.0026995
                      8,                 1.1857,                 1.3615,                0.95871,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.063969,              0.0029691,              0.0029691
                      9,                 1.0448,                 1.2432,                0.92789,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.059206,               0.003206,               0.003206
                     10,                 1.1397,                 1.2086,                 0.9107,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.05441,              0.0034103,              0.0034103
                     11,                 1.1261,                 1.1811,                 0.9233,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.049582,              0.0035818,              0.0035818
                     12,                 1.1627,                 1.1884,                0.94588,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.044721,              0.0037207,              0.0037207
                     13,                 1.1197,                 1.1354,                0.91093,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.039827,              0.0038269,              0.0038269
                     14,                 1.0537,                  1.112,                 0.9012,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.034901,              0.0039005,              0.0039005
                     15,                 1.1528,                 1.1654,                0.92377,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.029941,              0.0039414,              0.0039414
                     16,                 1.0628,                  1.099,                0.92106,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.02495,              0.0039496,              0.0039496
                     17,                 1.0337,                  1.041,                0.90697,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.019925,              0.0039252,              0.0039252
                     18,                 1.0428,                 1.0429,                0.92399,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.014868,               0.003868,               0.003868
                     19,                 1.0467,                0.99075,                0.90788,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0097782,              0.0037782,              0.0037782
                     20,                 1.0042,                 1.0025,                0.91181,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0046558,              0.0036558,              0.0036558
                     21,                0.97512,                0.99012,                0.90516,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.003366,               0.003366,               0.003366
                     22,                 0.9421,                0.93648,                0.89277,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0030393,              0.0030393,              0.0030393
                     23,                0.95193,                0.92615,                0.89736,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0027126,              0.0027126,              0.0027126
                     24,                0.95509,                0.91854,                0.90101,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0023859,              0.0023859,              0.0023859
                     25,                0.94097,                0.92612,                0.89791,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0020592,              0.0020592,              0.0020592
                     26,                0.91185,                 0.9033,                0.89175,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017325,              0.0017325,              0.0017325
                     27,                0.91209,                0.88834,                0.90141,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0014058,              0.0014058,              0.0014058
                     28,                0.88828,                0.85894,                0.88573,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010791,              0.0010791,              0.0010791
                     29,                 0.8662,                0.85675,                0.88012,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0007524,              0.0007524,              0.0007524
                     30,                0.87417,                0.85846,                 0.8893,                0.80001,                0.71366,                0.83138,                0.66092,                0.75546,                0.72612,                0.82598,              0.0004257,              0.0004257,              0.0004257
