                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5862,                 3.7612,                 1.0999,                0.21357,                0.10516,                0.08733,                0.04872,                 1.4181,                 3.6777,                 1.0618,              6.668e-05,              6.668e-05,              6.668e-05
                      2,                 1.4924,                 3.4261,                 1.0651,                0.28658,                0.44686,                0.28979,                0.22343,                0.96933,                 2.4414,                 0.9247,             0.00014828,             0.00014828,             0.00014828
                      3,                0.93809,                 1.7316,                 0.8981,                0.50314,                0.62188,                 0.5314,                 0.4158,                0.85974,                  2.028,                0.87156,             0.00022794,             0.00022794,             0.00022794
                      4,                0.86727,                 1.3537,                 0.8849,                0.15457,                0.48378,                0.10997,                0.07982,                0.83167,                    inf,                0.85419,             0.00030566,             0.00030566,             0.00030566
                      5,                0.84475,                 1.1931,                0.86987,                0.52906,                0.71827,                0.58565,                0.44874,                 0.8624,                 2.5969,                0.86016,             0.00038144,             0.00038144,             0.00038144
                      6,                0.85909,                 1.1737,                0.87103,                0.13963,                0.47908,                0.08907,                0.06671,                0.85054,                    inf,                0.85113,             0.00045528,             0.00045528,             0.00045528
                      7,                0.87708,                 1.2039,                 0.8798,                 0.1224,                0.38598,                0.07352,                0.05597,                0.84987,                    inf,                0.86314,             0.00052717,             0.00052717,             0.00052717
                      8,                0.82367,                 1.0322,                0.86377,                0.06828,                0.59218,                0.06627,                0.05131,                0.85469,                    inf,                0.85858,             0.00059713,             0.00059713,             0.00059713
                      9,                0.80492,                0.94451,                0.85885,                0.33265,                 0.6118,                0.42685,                0.32633,                0.87911,                  2.177,                0.86572,             0.00066514,             0.00066514,             0.00066514
                     10,                0.84833,                0.85561,                0.86665,                0.55478,                0.60245,                0.55338,                0.40332,                0.92703,                 1.5327,                0.88313,             0.00073121,             0.00073121,             0.00073121
                     11,                0.86584,                0.86439,                0.86463,                0.40864,                0.63102,                0.49955,                0.35342,                 1.0134,                 1.6686,                0.91249,             0.00079534,             0.00079534,             0.00079534
                     12,                0.82548,                0.88573,                0.85671,                0.42106,                0.66524,                0.49885,                0.35086,                 1.0943,                 1.8329,                0.92747,             0.00085752,             0.00085752,             0.00085752
                     13,                 0.8362,                0.80524,                 0.8628,                0.53974,                0.61532,                0.62575,                0.45176,                  1.007,                 1.3895,                 0.9014,             0.00091777,             0.00091777,             0.00091777
                     14,                0.83007,                0.77636,                0.86038,                0.49763,                0.65218,                0.61695,                0.43704,                  1.063,                 1.3722,                0.92707,             0.00097607,             0.00097607,             0.00097607
                     15,                0.86732,                0.87404,                0.87233,                 0.5576,                 0.6626,                0.65317,                0.49564,                0.91097,                 1.2955,                 0.8864,              0.0010324,              0.0010324,              0.0010324
                     16,                0.76961,                0.81834,                0.86231,                0.32644,                0.65442,                0.31208,                0.22644,                0.92071,                 3.6533,                0.90322,              0.0010869,              0.0010869,              0.0010869
                     17,                0.78815,                 0.7654,                0.86421,                0.69712,                0.52894,                0.58683,                0.45159,                 1.0317,                 1.4864,                0.92157,              0.0011393,              0.0011393,              0.0011393
                     18,                0.86094,                0.79403,                0.86194,                0.53936,                0.40277,                0.42735,                0.31375,                 1.2785,                 1.9755,                 1.0132,              0.0011899,              0.0011899,              0.0011899
                     19,                 0.8628,                0.89526,                0.86257,                0.63254,                0.58186,                0.61792,                0.47672,                0.92181,                   1.49,                0.88928,              0.0012385,              0.0012385,              0.0012385
                     20,                0.88159,                0.80508,                0.87537,                0.71923,                0.67384,                0.76093,                0.56406,                0.92646,                 1.0786,                0.89483,              0.0012851,              0.0012851,              0.0012851
                     21,                0.83751,                0.71626,                0.86417,                0.72997,                  0.673,                0.76876,                0.59673,                0.82897,                0.98469,                0.88322,              0.0012787,              0.0012787,              0.0012787
                     22,                 0.8291,                0.74648,                0.85424,                0.73513,                0.66012,                0.75247,                0.57742,                0.85309,                 1.0152,                0.88397,              0.0012593,              0.0012593,              0.0012593
                     23,                0.79731,                  0.705,                0.85535,                0.52793,                  0.648,                0.57046,                0.44326,                0.88943,                 1.2226,                0.88298,              0.0012399,              0.0012399,              0.0012399
                     24,                 0.7829,                0.75355,                0.84865,                0.28702,                0.61215,                0.26114,                0.19953,                0.90862,                 7.7581,                0.90392,              0.0012204,              0.0012204,              0.0012204
                     25,                0.76923,                0.72483,                0.85378,                0.73809,                0.67579,                0.76657,                0.59454,                0.84829,                 1.0496,                0.87609,               0.001201,               0.001201,               0.001201
                     26,                0.82165,                0.74409,                0.85651,                0.69514,                0.72694,                0.78518,                0.56715,                0.91003,                0.96931,                0.88459,              0.0011816,              0.0011816,              0.0011816
                     27,                0.82032,                0.69567,                0.87304,                0.73619,                0.75628,                0.78891,                0.60544,                0.86123,                0.98001,                0.88257,              0.0011622,              0.0011622,              0.0011622
                     28,                0.78533,                0.64216,                0.85319,                0.57076,                 0.6472,                0.60319,                0.46988,                 0.8681,                 1.1349,                0.87663,              0.0011428,              0.0011428,              0.0011428
                     29,                0.76633,                0.65223,                0.84205,                0.75813,                0.69431,                 0.7724,                 0.6041,                0.82884,                0.97196,                0.86769,              0.0011234,              0.0011234,              0.0011234
                     30,                0.78876,                0.65696,                0.84881,                0.69333,                0.71353,                0.74988,                0.57497,                0.85362,                  1.019,                0.86916,              0.0011039,              0.0011039,              0.0011039
                     31,                0.74907,                0.62127,                0.85569,                0.72838,                0.68651,                0.77833,                0.59464,                0.87193,                  1.015,                0.87574,              0.0010845,              0.0010845,              0.0010845
                     32,                0.77211,                0.66302,                0.85151,                0.71361,                0.69332,                0.78037,                0.60912,                 0.8179,                0.97566,                0.87449,              0.0010651,              0.0010651,              0.0010651
                     33,                0.73299,                0.59614,                0.83854,                0.75882,                0.69825,                0.78627,                0.60621,                0.84949,                0.91526,                0.87112,              0.0010457,              0.0010457,              0.0010457
                     34,                0.73114,                0.59408,                0.84485,                0.71303,                 0.7206,                0.77065,                0.60631,                0.82445,                0.91416,                0.86529,              0.0010263,              0.0010263,              0.0010263
                     35,                0.72864,                0.60816,                0.85673,                 0.6917,                0.70717,                0.76125,                0.59956,                 0.8033,                0.95469,                0.86521,              0.0010069,              0.0010069,              0.0010069
                     36,                0.72555,                0.58784,                0.84331,                0.74568,                0.73047,                0.81916,                0.62569,                0.84457,                0.85026,                0.86778,             0.00098745,             0.00098745,             0.00098745
                     37,                0.74212,                0.60999,                0.84561,                 0.7319,                0.70841,                0.77068,                 0.5799,                0.85735,                0.94352,                0.87116,             0.00096804,             0.00096804,             0.00096804
                     38,                0.73391,                0.60025,                0.83803,                0.72469,                0.72075,                0.78475,                0.61294,                0.82616,                0.87194,                 0.8674,             0.00094862,             0.00094862,             0.00094862
                     39,                0.71871,                0.60503,                0.84441,                0.74471,                0.74744,                0.79939,                0.62827,                0.81092,                0.85554,                0.86428,             0.00092921,             0.00092921,             0.00092921
